Coefficient,Widget ID,Conversions,Cost,Cost Per Conversions,,,,update,Conversions,Cost,Cost Per Conversions,,,,Coefficient,Widget ID
1.5,57167305,44,278.917,6.339022727,2 tk,siêu ngon,,57167305,12,79.288003,6.607333583,siêu ngon,,,1.6,57167305
1.5,57411886,15,60.362,4.024133333,2 tk,siêu ngon,,57411886,0,6.794,,??t lên,,,1.2,57411886
,,,,,,,,57494356,4,3.31,0.8275,new,,,1.3,57494356
1.6,57132187,13,22.014,1.693384615,2 tk,siêu ngon,,57132187,0,3.624,,c?n ít ,,,1.8,57132187
1.5,57505082,10,48.554998,4.8554998,1 tk,,,57505082,0,7.991,,??t lên,,,1.2,57505082
,,,,,,,,57466166,2,1.1,0.55,new,,,,
1.5,5753130,11,55.075,5.006818182,2 tk,,,5753130,1,14.818001,,r?t ??t,,,1.2,5753130
1.6,57486416,11,40.293001,3.663000091,2 tk,,,57486416,1,3.304,3.304,ok,,,1.8,57486416
1.5,57496156,11,52.397,4.763363636,2 tk,,,57496156,0,5.81,,??t lên,,,1.4,57496156
1.6,57263223,9,12.452,1.383555556,2 tk,,,57263223,0,1.44,,c?n ít ,,,1.8,57263223
1.5,57505083,8,41.469998,5.18374975,1 tk,,,57505083,1,10.871,,r?t ??t,,,1.2,57505083
1.5,57505361,7,34.319999,4.902857,1 tk,,,57505361,1,14.728001,,r?t ??t,,,1.2,57505361
1.6,57245295,6,21.878,3.646333333,1 tk,,,57245295,1,7.336,7.336,h? bid,,,1.3,57245295
,,,,,,,,,,,,,,,,
1.5,57489048,6,28.456999,4.742833167,1 tk,,,nodata,,,,,,,1.4,57489048
1.5,57320715,6,39.229,6.538166667,1 tk,,,57320715,2,7.551,3.7755,ok,,,1.6,57320715
1.5,57491311,5,22.008999,4.4017998,1 tk,,,không c?n,,,,,,,1.6,57491311
1.4,57451633,7,54.094001,7.727714429,2 tk,,,57451633,0,10.41,,r?t ??t,,,1.2,57451633
1.6,57334897,7,17.868,2.552571429,2 tk,,,57334897,1,4.672,4.672,ok,,,1.8,57334897
,,,,,,,,57482829,2,0.45,0.225,new,,,1.2,57482829
1.5,57077305,7,32.059,4.579857143,2 tk,,,57077305,2,9.164,4.582,ok,,,1.6,57077305
1.4,57491322,4,2.841,0.71025,1 tk,,,57491322,1,1.953,,ok,,,1.7,57491322
1.5,57497925,6,36.531001,6.088500167,2 tk,,,nodata,,,,,,,1.5,57497925
1.4,57413606,4,16.842,4.2105,1 tk,,,57413606,2,2.366,1.183,ok,,,1.6,57413606
1.4,57101158,4,3.47,0.8675,1 tk,,,57101158,,,,c?n ít ,,,1.6,57101158
,,,,,,,,,,,,,,,,
1.5,57433813,4,16.376,4.094,2 tk,,,57433813,3,8.352,2.784,siêu ngon,,,1.7,57433813
1.2,57132197,3,10.534,3.511333333,1 tk,,,nodata,,,,,,,1.2,57132197
,,,,,,,,,,,,,,,,
1.2,57467277,3,8.898,2.966,1 tk,,,,,,,không c?n,,,1.2,57467277
1.5,57415851,4,18.259,4.56475,2 tk,,,57415851,1,4.984,,ok,,,1.5,57415851
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1.3,57317712,3,6.096,2.032,1 tk,,,,,,,không c?n,,,1.3,57317712
1.3,57493029,3,5.107,1.702333333,1 tk,,,nodata,,,,,,,1.3,57493029
1.5,57473922,5,8.355,1.671,2 tk,,,,,,,không c?n,,,1.5,57473922
1.4,57135768,5,36.987001,7.3974002,2 tk,,,57135768,0,6.069,,??t b?,,,,
1.2,57147431,3,14.834,4.944666667,1 tk,,,57147431,3,10.752,3.584,ok,,,1.5,57147431
1.3,57395321,3,9.285,3.095,1 tk,,,nodata,,,,,,,1.3,57395321
1.4,57143418,5,33.888,6.7776,2 tk,,,57143418,0,9.555,,??t b?,,,,
,,,,,,,,,,,,,,,,
1.5,57500802,8,28.609001,3.576125125,1 tk,,,nodata,,,,,,,1.5,57500802
,,,,,,,,,,,,,,,,
1.4,57406821,3,4.647,1.549,1 tk,,,,,,,nodata,,,1.4,57406821
1.2,57500803,3,13.252001,4.417333667,1 tk,,,,,,,nodata,,,1.2,57500803
1.4,57174818s1029744319,3,5.167,1.722333333,1 tk,,,,,,,không c?n,,,,
1.3,57473917,4,25.651001,6.41275025,2 tk,,,,0,2.073,,??t b?,,,,
1.3,57492832,2,2.625,1.3125,1 tk,,,,,,,không c?n,,,1.3,57492832
1.3,57493127,3,7.491,2.497,2 tk,,,,,,,nodata,,,1.3,57493127
1.3,57482445,3,2.316,0.772,2 tk,,,,1,1.727,,ok,,,1.6,57482445
1.3,57464202,2,3.419,1.7095,1 tk,,,,,,,nodata,,,1.3,57464202
1.3,57153647,2,0.975,0.4875,1 tk,,,,,,,nodata,,,1.3,57153647
1.2,57497160,3,9.54,3.18,2 tk,,,57497160,5,31.226,6.2452,siêu ngon,,,1.5,57497160
1.2,57423662,2,9.004,4.502,1 tk,,,,,,,không c?n,,,1.2,57423662
1.3,57199893,2,4.022,2.011,1 tk,,,,,,,không c?n,,,1.3,57199893
,,,,,,,,,,,,,,,,
1.2,57369702,2,8.154,4.077,1 tk,,,,0,3.27,,c?n ít,,,1.2,57369702
1.2,57430375,2,11.289,5.6445,1 tk,,,57430375,0,12.132,,??t b?,,,,
,,,,,,,,,,,,,,,,
1.2,57480399,2,13.238,6.619,1 tk,,,57480399,1,3.75,,ok,,,1.4,57480399
1.2,57095589,3,20.962,6.987333333,2 tk,,,,,,,không c?n,,,1.2,57095589
1.2,57467349,2,11.451,5.7255,1 tk,,,57467349,2,4.32,2.16,ok,,,1.4,57467349
1.2,57444287,2,7.453,3.7265,1 tk,,,,,,,c?n ít ,,,1.2,57444287
1.2,57406662,2,14.364,7.182,1 tk,,,,,,,b?,,,,
1.2,57218859,2,7.007,3.5035,1 tk,,,,0,2.49,,c?n ít ,,,1.2,57218859
1.2,57361115,2,8.095,4.0475,1 tk,,,,,,,không c?n,,,1.2,57361115
,,,,,,,,,,,,,,,,
1.2,57497846,3,19.661,6.553666667,2 tk,,,,,,,nodata,,,1.2,57497846
1.2,57465584,3,11.603,3.867666667,2 tk,,,,,,,không c?n,,,1.2,57465584
1.2,57433712,2,9.567,4.7835,1 tk,,,57433712,3,2.34,0.78,test,,,1.5,57433712
1.3,57433805,2,5.159,2.5795,1 tk,,,,,,,c?n ít ,,,1.3,57433805
1.3,57236394,2,1.181,0.5905,1 tk,,,,,,,nodata,,,1.3,57236394
1.3,57283290,2,0.29,0.145,1 tk,,,,,,,không c?n,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1.2,57343240,2,8.3,4.15,1 tk,,,,,,,nodata,,,1.2,57343240
,,,,,,,,,,,,,,,,
1.3,57371077,2,0.918,0.459,1 tk,,,,,,,không c?n,,,,
1.3,57473961,2,1.826,0.913,1 tk,,,,,,,không c?n,,,,
